,state,date,tot_cases,new_cases,tot_deaths,new_deaths,1st_dose,2nd_dose
88,Guam,Jun-2021,41371,212,696,1,0,0
89,Guam,Mar-2021,38873,78,666,4,46800,0
90,Guam,May-2021,32361,195,556,3,0,0
91,Hawaii,Apr-2021,127196,2606,1990,11,84240,84240
92,Hawaii,Dec-2020,99671,3728,1942,34,33150,33150
93,Hawaii,Feb-2021,107741,1769,1869,16,44460,44460
94,Hawaii,Jan-2021,97249,4199,1771,49,37050,37050
95,Hawaii,Jun-2021,180851,1775,2666,14,67770,67770
96,Hawaii,Mar-2021,144088,2651,2420,18,99450,99450
97,Hawaii,May-2021,137343,2337,2066,25,111510,111510
98,Idaho,Apr-2021,739904,6729,8056,81,94770,94770
99,Idaho,Dec-2020,620240,43361,6050,509,36075,36075
100,Idaho,Feb-2021,669362,9080,7193,125,48555,48555
101,Idaho,Jan-2021,617275,21347,6402,310,40950,40950
102,Idaho,Jun-2021,969203,3260,10625,65,75330,75330
103,Idaho,Mar-2021,882077,10246,9624,123,109980,109980
104,Idaho,May-2021,760467,4469,8275,44,123390,123390
105,Illinois,Apr-2021,5192401,83868,95789,633,575640,575640
106,Illinois,Dec-2020,4305082,269914,78439,5371,224250,224250
107,Illinois,Feb-2021,4633282,67157,88084,1625,288600,288600
108,Illinois,Jan-2021,4238864,156805,79588,3140,247650,247650
109,Illinois,Jun-2021,6939244,13351,127462,617,448470,448470
110,Illinois,Mar-2021,6080284,65244,116160,1001,678600,678600
111,Illinois,May-2021,5454873,49937,98993,847,748530,748530
112,Indiana,Apr-2021,2823599,31070,52841,273,374400,374400
113,Indiana,Dec-2020,2171799,192499,39858,3293,146250,146250
114,Indiana,Feb-2021,2584136,40869,48118,1330,187200,187200
115,Indiana,Jan-2021,2328837,112156,42139,1823,160875,160875
116,Indiana,Jun-2021,3748487,12229,68761,277,291600,291600
117,Indiana,Mar-2021,3373644,28448,64311,571,441090,441090
118,Indiana,May-2021,2936150,24136,53906,260,485640,485640
119,Iowa,Apr-2021,1439606,12893,23520,190,179010,179010
120,Iowa,Dec-2020,1299389,58778,16009,1522,70200,70200
121,Iowa,Feb-2021,1314941,18551,20870,914,90090,90090
122,Iowa,Jan-2021,1216840,36050,17186,678,77025,77025
123,Iowa,Jun-2021,1863512,2705,30511,94,139590,139590
124,Iowa,Mar-2021,1722810,16739,28191,327,209430,209430
125,Iowa,May-2021,1476508,6730,24016,113,233730,233730
126,Kansas,Apr-2021,1226087,6018,19755,86,162630,162630
127,Kansas,Dec-2020,977357,75008,11394,1249,64350,64350
128,Kansas,Feb-2021,1150700,20320,17425,935,82680,82680
129,Kansas,Jan-2021,1029759,49745,13816,949,72150,72150
130,Kansas,Jun-2021,1582898,4413,25570,94,127170,127170
131,Kansas,Mar-2021,1499114,8696,24111,204,193050,193050
132,Kansas,May-2021,1248893,5132,20123,82,210870,210870
133,Kentucky,Apr-2021,1752588,14812,25273,409,256230,256230
134,Kentucky,Dec-2020,1141439,98689,11409,786,99450,99450
135,Kentucky,Feb-2021,1574672,44253,16732,981,129285,129285
136,Kentucky,Jan-2021,1326525,97692,12405,874,111150,111150
137,Kentucky,Jun-2021,2296228,6444,35731,492,197640,197640
138,Kentucky,Mar-2021,2105311,22136,26428,1588,299520,299520
139,Kentucky,May-2021,1806158,11459,26532,248,332640,332640
140,Louisiana,Apr-2021,1810086,12477,41131,225,264420,264420
141,Louisiana,Dec-2020,1380973,85591,34790,1098,103350,103350
142,Louisiana,Feb-2021,1668916,34516,37135,839,133380,133380
143,Louisiana,Jan-2021,1456353,81184,32774,1240,115050,115050
144,Louisiana,Jun-2021,2384146,11630,53339,174,207360,207360
145,Louisiana,Mar-2021,2193387,17944,49631,614,311220,311220
146,Louisiana,May-2021,1861705,12491,41946,195,345240,345240
147,Maine,Apr-2021,228763,10157,3056,38,81900,81900
148,Maine,Dec-2020,90751,13174,1399,157,32175,32175
149,Maine,Feb-2021,169811,5664,2624,133,40365,40365
150,Maine,Jan-2021,133675,14253,1945,220,35100,35100
151,Maine,Jun-2021,343098,1630,4242,33,64260,64260
152,Maine,Mar-2021,239489,6670,3628,44,95940,95940
153,Maine,May-2021,262180,6479,3232,44,105660,105660
154,Maryland,Apr-2021,1735160,34149,34196,423,345150,345150
155,Maryland,Dec-2020,1199326,85528,26367,1332,133575,133575
156,Maryland,Feb-2021,1475619,31931,30085,793,173745,173745
157,Maryland,Jan-2021,1286683,72870,26221,1146,148200,148200
158,Maryland,Jun-2021,2306566,3400,48438,704,268110,268110
159,Maryland,Mar-2021,1983102,32854,40519,497,407160,407160
160,Maryland,May-2021,1820604,13386,35686,328,449730,449730
161,Massachusetts,Apr-2021,2678517,50663,69861,393,403650,403650
162,Massachusetts,Dec-2020,1511662,153324,57728,1734,156975,156975
163,Massachusetts,Feb-2021,2215884,64382,61483,1641,201825,201825
164,Massachusetts,Jan-2021,1843043,141585,54328,1966,173550,173550
165,Massachusetts,Jun-2021,3544312,3939,89728,153,313740,313740
166,Massachusetts,Mar-2021,3041783,61695,83648,1240,473850,473850
167,Massachusetts,May-2021,2802114,19784,71002,261,525780,525780
168,Michigan,Apr-2021,3469930,182056,71797,1481,572130,572130
169,Michigan,Dec-2020,2371119,176160,57570,3844,222300,222300
170,Michigan,Feb-2021,2514845,37041,64133,1072,286650,286650
171,Michigan,Jan-2021,2318872,75634,58078,2303,245700,245700
172,Michigan,Jun-2021,4986093,9962,103804,748,443610,443610
173,Michigan,Mar-2021,3446517,105083,84127,731,672750,672750
174,Michigan,May-2021,3894674,61592,78805,1640,742230,742230
175,Minnesota,Apr-2021,2210033,52426,29694,254,314730,314730
176,Minnesota,Dec-2020,1889547,123613,29205,1698,122850,122850
177,Minnesota,Feb-2021,1887515,23671,27621,156,157365,157365
178,Minnesota,Jan-2021,1771881,44237,26674,456,134550,134550
179,Minnesota,Jun-2021,3016353,5672,38512,42,244620,244620
180,Minnesota,Mar-2021,2504898,38731,35794,315,369720,369720
181,Minnesota,May-2021,2366591,27842,30503,148,409140,409140
182,Mississippi,Apr-2021,1235765,6213,28555,161,169650,169650
183,Mississippi,Dec-2020,926563,67419,21465,1002,65325,65325
184,Mississippi,Feb-2021,1142366,23220,25654,688,84825,84825
185,Mississippi,Jan-2021,997633,55617,21883,1170,72150,72150
186,Mississippi,Jun-2021,1598110,4700,36839,111,133380,133380
187,Mississippi,Mar-2021,1504494,13254,34535,427,198900,198900
188,Mississippi,May-2021,1259814,5705,29034,108,222300,222300
189,Missouri,Apr-2021,2340389,11802,36068,272,347490,347490
190,Missouri,Dec-2020,1930139,132482,24737,1867,135525,135525
191,Missouri,Feb-2021,2199498,34803,31017,1206,174915,174915
192,Missouri,Jan-2021,1986826,89495,26287,1333,150150,150150
193,Missouri,Jun-2021,3080698,22055,48207,243,269460,269460
194,Missouri,Mar-2021,2859065,18541,43471,618,410670,410670
195,Missouri,May-2021,2399730,14134,37367,360,450180,450180
196,Montana,Apr-2021,428161,3941,6130,130,63180,63180
197,Montana,Dec-2020,368849,22657,4174,297,25350,25350
198,Montana,Feb-2021,388535,6698,5295,150,31005,31005
199,Montana,Jan-2021,354509,11314,4373,250,27300,27300
200,Montana,Jun-2021,564764,2297,8222,59,50490,50490
201,Montana,Mar-2021,512255,5304,7012,87,73710,73710
202,Montana,May-2021,442113,2973,6374,41,82350,82350
203,Nebraska,Apr-2021,854444,8680,10653,57,108810,108810
204,Nebraska,Dec-2020,737323,44749,10410,506,42900,42900
205,Nebraska,Feb-2021,776260,11048,10150,73,53820,53820
206,Nebraska,Jan-2021,715393,23837,9642,242,46800,46800
207,Nebraska,Jun-2021,1103940,1321,13686,17,86400,86400
208,Nebraska,Mar-2021,1018281,10400,13011,64,128700,128700
209,Nebraska,May-2021,876464,3385,10837,46,141120,141120
210,Nevada,Apr-2021,1241304,10713,21496,199,167310,167310
211,Nevada,Dec-2020,959909,80356,13171,992,65325,65325
212,Nevada,Feb-2021,1147953,18186,18647,786,84825,84825
213,Nevada,Jan-2021,1030394,51278,14888,1071,72150,72150
